"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 18:35:10 GMT 2021","Wed Aug 18 18:35:16 GMT 2021","5418","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","testCheckEachLineOfPrivacyPolicyTextFile","testCheckEachLineOfPrivacyPolicyTextFile()",""
"broken","Wed Aug 18 18:37:43 GMT 2021","Wed Aug 18 18:38:12 GMT 2021","28653","","delete_data.DeleteProductFromCartTest","","delete_data.DeleteProductFromCartTest","testDeleteProductFromCart","testDeleteProductFromCart()",""
"broken","Wed Aug 18 18:36:15 GMT 2021","Wed Aug 18 18:36:45 GMT 2021","29910","","login.LoginTest","","login.LoginTest","testUnsuccessfulLogin","testUnsuccessfulLogin()",""
"broken","Wed Aug 18 18:35:16 GMT 2021","Wed Aug 18 18:35:46 GMT 2021","30394","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testBrandFilter","testBrandFilter()",""
"broken","Wed Aug 18 18:34:41 GMT 2021","Wed Aug 18 18:35:10 GMT 2021","29480","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Wed Aug 18 18:36:45 GMT 2021","Wed Aug 18 18:37:15 GMT 2021","30048","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Wed Aug 18 18:37:15 GMT 2021","Wed Aug 18 18:37:43 GMT 2021","28515","","read_multipage_list.ReadMultiPageListTest","","read_multipage_list.ReadMultiPageListTest","MultiPageAppleProductFilterTest","MultiPageAppleProductFilterTest()",""
"broken","Wed Aug 18 18:35:46 GMT 2021","Wed Aug 18 18:36:15 GMT 2021","28732","","save_data.ProductFilterTest","","save_data.ProductFilterTest","FilterAppleNotebooksTest","FilterAppleNotebooksTest()",""
