"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 17 13:00:23 GMT 2021","Tue Aug 17 13:00:23 GMT 2021","46","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","testCheckEachLineOfPrivacyPolicyTextFile","testCheckEachLineOfPrivacyPolicyTextFile()",""
"broken","Tue Aug 17 12:59:57 GMT 2021","Tue Aug 17 13:00:22 GMT 2021","25832","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Tue Aug 17 13:00:23 GMT 2021","Tue Aug 17 13:00:23 GMT 2021","22","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testBrandFilter","testBrandFilter()",""
"broken","Tue Aug 17 13:00:23 GMT 2021","Tue Aug 17 13:00:23 GMT 2021","40","","save_data.DownloadDataTest","","save_data.DownloadDataTest","DownloadPrivacyPolicyAsPDF","DownloadPrivacyPolicyAsPDF()",""
"broken","Tue Aug 17 13:00:23 GMT 2021","Tue Aug 17 13:00:23 GMT 2021","14","","read_multipage_list.ReadMultiPageListTest","","read_multipage_list.ReadMultiPageListTest","MultiPageAppleProductFilterTest","MultiPageAppleProductFilterTest()",""
"broken","Tue Aug 17 13:00:23 GMT 2021","Tue Aug 17 13:00:23 GMT 2021","8","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Tue Aug 17 13:00:23 GMT 2021","Tue Aug 17 13:00:23 GMT 2021","11","","login.LoginTest","","login.LoginTest","testUnsuccessfulLogin","testUnsuccessfulLogin()",""
"broken","Tue Aug 17 13:00:23 GMT 2021","Tue Aug 17 13:00:23 GMT 2021","16","","delete_data.DeleteProductFromCartTest","","delete_data.DeleteProductFromCartTest","testDeleteProductFromCart","testDeleteProductFromCart()",""
"broken","Tue Aug 17 13:00:23 GMT 2021","Tue Aug 17 13:00:23 GMT 2021","20","","save_data.ProductFilterTest","","save_data.ProductFilterTest","FilterAppleNotebooksTest","FilterAppleNotebooksTest()",""
