"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 17 13:23:27 GMT 2021","Tue Aug 17 13:23:33 GMT 2021","5755","","save_data.DownloadDataTest","","save_data.DownloadDataTest","DownloadPrivacyPolicyAsPDF","DownloadPrivacyPolicyAsPDF()",""
"broken","Tue Aug 17 13:23:33 GMT 2021","Tue Aug 17 13:23:58 GMT 2021","24801","","login.LoginTest","","login.LoginTest","testUnsuccessfulLogin","testUnsuccessfulLogin()",""
"broken","Tue Aug 17 13:23:58 GMT 2021","Tue Aug 17 13:24:23 GMT 2021","24865","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Tue Aug 17 13:22:09 GMT 2021","Tue Aug 17 13:22:34 GMT 2021","24225","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Tue Aug 17 13:23:04 GMT 2021","Tue Aug 17 13:23:27 GMT 2021","23503","","save_data.ProductFilterTest","","save_data.ProductFilterTest","FilterAppleNotebooksTest","FilterAppleNotebooksTest()",""
"broken","Tue Aug 17 13:22:39 GMT 2021","Tue Aug 17 13:23:04 GMT 2021","24905","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testBrandFilter","testBrandFilter()",""
"passed","Tue Aug 17 13:22:34 GMT 2021","Tue Aug 17 13:22:39 GMT 2021","5083","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","testCheckEachLineOfPrivacyPolicyTextFile","testCheckEachLineOfPrivacyPolicyTextFile()",""
"broken","Tue Aug 17 13:24:23 GMT 2021","Tue Aug 17 13:24:46 GMT 2021","23532","","read_multipage_list.ReadMultiPageListTest","","read_multipage_list.ReadMultiPageListTest","MultiPageAppleProductFilterTest","MultiPageAppleProductFilterTest()",""
"broken","Tue Aug 17 13:24:46 GMT 2021","Tue Aug 17 13:25:10 GMT 2021","23526","","delete_data.DeleteProductFromCartTest","","delete_data.DeleteProductFromCartTest","testDeleteProductFromCart","testDeleteProductFromCart()",""
