"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 15:14:31 GMT 2021","Sun Aug 22 15:14:41 GMT 2021","10012","","input_data_from_source.SubscriptionForNewsLetterTest","","input_data_from_source.SubscriptionForNewsLetterTest","testSuccessfulSubscribtionForNewsLetter","TC9 It subscribes as many newsletter as there are users in json file.",""
"passed","Sun Aug 22 15:15:34 GMT 2021","Sun Aug 22 15:16:36 GMT 2021","62920","","read_multipage_list.ReadMultiPageListTest","","read_multipage_list.ReadMultiPageListTest","MultiPageAppleProductFilterTest","TC8 All result must include the filtered brand.",""
"passed","Sun Aug 22 15:15:13 GMT 2021","Sun Aug 22 15:15:23 GMT 2021","10041","","login.LoginTest","","login.LoginTest","testUnsuccessfulLogin","TC3",""
"passed","Sun Aug 22 15:15:23 GMT 2021","Sun Aug 22 15:15:34 GMT 2021","10088","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC2",""
"passed","Sun Aug 22 15:14:41 GMT 2021","Sun Aug 22 15:14:51 GMT 2021","10344","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testBrandFilter","TC7 It tests the brand filter by entering a brand and then modifying it with a sub brand.",""
"broken","Sun Aug 22 15:16:52 GMT 2021","Sun Aug 22 15:17:28 GMT 2021","35908","","registration.RegistrationTest","","registration.RegistrationTest","testSuccessfulRegistration","TC1 Succesful registration",""
"passed","Sun Aug 22 15:16:36 GMT 2021","Sun Aug 22 15:16:52 GMT 2021","15333","","delete_data.DeleteProductFromCartTest","","delete_data.DeleteProductFromCartTest","testDeleteProductFromCart","TC5 It should delete a Led monitor from the cart.",""
"passed","Sun Aug 22 15:14:23 GMT 2021","Sun Aug 22 15:14:31 GMT 2021","7607","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","testCheckEachLineOfPrivacyPolicyTextFile","TC10 The privacy policy page should contain the capters stored in the class PrivacyPolicyPage.",""
"passed","Sun Aug 22 15:14:12 GMT 2021","Sun Aug 22 15:14:23 GMT 2021","11212","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC4 It should log out succesfully",""
"passed","Sun Aug 22 15:14:51 GMT 2021","Sun Aug 22 15:15:04 GMT 2021","12700","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testModifyRegisteredName","TC6 It should modify the first name of the user.",""
"passed","Sun Aug 22 15:15:04 GMT 2021","Sun Aug 22 15:15:13 GMT 2021","9219","","save_data.ProductFilterTest","","save_data.ProductFilterTest","FilterAppleNotebooksTest","TC11 The page must contain elements that match the filter criteria.",""
