"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 13:30:06 GMT 2021","Sun Aug 22 13:30:16 GMT 2021","9471","","save_data.ProductFilterTest","","save_data.ProductFilterTest","FilterAppleNotebooksTest","TC11 The page must contain elements that match the filter criteria.",""
"passed","Sun Aug 22 13:30:16 GMT 2021","Sun Aug 22 13:30:27 GMT 2021","10726","","login.LoginTest","","login.LoginTest","testUnsuccessfulLogin","TC3",""
"passed","Sun Aug 22 13:30:27 GMT 2021","Sun Aug 22 13:30:38 GMT 2021","11172","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC2",""
"passed","Sun Aug 22 13:31:42 GMT 2021","Sun Aug 22 13:31:59 GMT 2021","17600","","delete_data.DeleteProductFromCartTest","","delete_data.DeleteProductFromCartTest","testDeleteProductFromCart","TC5 It should delete a Led monitor from the cart.",""
"passed","Sun Aug 22 13:29:35 GMT 2021","Sun Aug 22 13:29:48 GMT 2021","12343","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC4 It should log out succesfully",""
"passed","Sun Aug 22 13:29:48 GMT 2021","Sun Aug 22 13:29:55 GMT 2021","7603","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","testCheckEachLineOfPrivacyPolicyTextFile","TC10 The privacy policy page should contain the capters stored in the class PrivacyPolicyPage.",""
"passed","Sun Aug 22 13:30:38 GMT 2021","Sun Aug 22 13:31:42 GMT 2021","63886","","read_multipage_list.ReadMultiPageListTest","","read_multipage_list.ReadMultiPageListTest","MultiPageAppleProductFilterTest","TC8 All result must include the filtered brand.",""
"passed","Sun Aug 22 13:29:55 GMT 2021","Sun Aug 22 13:30:06 GMT 2021","11057","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testBrandFilter","TC7 It tests the brand filter by entering a brand and then modifying it with a sub brand.",""
