"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 17:58:13 GMT 2021","Wed Aug 18 17:58:38 GMT 2021","24251","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Wed Aug 18 17:56:32 GMT 2021","Wed Aug 18 17:56:56 GMT 2021","23901","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Wed Aug 18 17:57:01 GMT 2021","Wed Aug 18 17:57:26 GMT 2021","24267","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testBrandFilter","testBrandFilter()",""
"broken","Wed Aug 18 17:57:49 GMT 2021","Wed Aug 18 17:58:13 GMT 2021","24323","","login.LoginTest","","login.LoginTest","testUnsuccessfulLogin","testUnsuccessfulLogin()",""
"broken","Wed Aug 18 17:59:01 GMT 2021","Wed Aug 18 17:59:25 GMT 2021","23500","","delete_data.DeleteProductFromCartTest","","delete_data.DeleteProductFromCartTest","testDeleteProductFromCart","testDeleteProductFromCart()",""
"broken","Wed Aug 18 17:57:26 GMT 2021","Wed Aug 18 17:57:49 GMT 2021","23537","","save_data.ProductFilterTest","","save_data.ProductFilterTest","FilterAppleNotebooksTest","FilterAppleNotebooksTest()",""
"passed","Wed Aug 18 17:56:56 GMT 2021","Wed Aug 18 17:57:01 GMT 2021","4884","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","testCheckEachLineOfPrivacyPolicyTextFile","testCheckEachLineOfPrivacyPolicyTextFile()",""
"broken","Wed Aug 18 17:58:38 GMT 2021","Wed Aug 18 17:59:01 GMT 2021","23437","","read_multipage_list.ReadMultiPageListTest","","read_multipage_list.ReadMultiPageListTest","MultiPageAppleProductFilterTest","MultiPageAppleProductFilterTest()",""
