"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 19:16:18 GMT 2021","Wed Aug 18 19:16:49 GMT 2021","31666","","login.LoginTest","","login.LoginTest","testUnsuccessfulLogin","testUnsuccessfulLogin()",""
"broken","Wed Aug 18 19:16:49 GMT 2021","Wed Aug 18 19:17:21 GMT 2021","31554","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Wed Aug 18 19:14:37 GMT 2021","Wed Aug 18 19:15:08 GMT 2021","30855","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Wed Aug 18 19:17:21 GMT 2021","Wed Aug 18 19:17:51 GMT 2021","30341","","read_multipage_list.ReadMultiPageListTest","","read_multipage_list.ReadMultiPageListTest","MultiPageAppleProductFilterTest","MultiPageAppleProductFilterTest()",""
"broken","Wed Aug 18 19:17:51 GMT 2021","Wed Aug 18 19:18:22 GMT 2021","30208","","delete_data.DeleteProductFromCartTest","","delete_data.DeleteProductFromCartTest","testDeleteProductFromCart","testDeleteProductFromCart()",""
"broken","Wed Aug 18 19:15:16 GMT 2021","Wed Aug 18 19:15:48 GMT 2021","31814","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testBrandFilter","testBrandFilter()",""
"broken","Wed Aug 18 19:15:48 GMT 2021","Wed Aug 18 19:16:18 GMT 2021","30264","","save_data.ProductFilterTest","","save_data.ProductFilterTest","FilterAppleNotebooksTest","FilterAppleNotebooksTest()",""
"passed","Wed Aug 18 19:15:08 GMT 2021","Wed Aug 18 19:15:16 GMT 2021","7291","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","testCheckEachLineOfPrivacyPolicyTextFile","testCheckEachLineOfPrivacyPolicyTextFile()",""
