"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 20:01:02 GMT 2021","Wed Aug 18 20:01:07 GMT 2021","5440","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","testCheckEachLineOfPrivacyPolicyTextFile","testCheckEachLineOfPrivacyPolicyTextFile()",""
"passed","Wed Aug 18 20:01:38 GMT 2021","Wed Aug 18 20:02:39 GMT 2021","60844","","read_multipage_list.ReadMultiPageListTest","","read_multipage_list.ReadMultiPageListTest","MultiPageAppleProductFilterTest","MultiPageAppleProductFilterTest()",""
"passed","Wed Aug 18 20:00:52 GMT 2021","Wed Aug 18 20:01:02 GMT 2021","9623","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"passed","Wed Aug 18 20:01:30 GMT 2021","Wed Aug 18 20:01:38 GMT 2021","7870","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"passed","Wed Aug 18 20:02:39 GMT 2021","Wed Aug 18 20:02:58 GMT 2021","18687","","delete_data.DeleteProductFromCartTest","","delete_data.DeleteProductFromCartTest","testDeleteProductFromCart","testDeleteProductFromCart()",""
"passed","Wed Aug 18 20:01:07 GMT 2021","Wed Aug 18 20:01:15 GMT 2021","8087","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testBrandFilter","testBrandFilter()",""
"passed","Wed Aug 18 20:01:15 GMT 2021","Wed Aug 18 20:01:22 GMT 2021","7042","","save_data.ProductFilterTest","","save_data.ProductFilterTest","FilterAppleNotebooksTest","FilterAppleNotebooksTest()",""
"passed","Wed Aug 18 20:01:22 GMT 2021","Wed Aug 18 20:01:30 GMT 2021","8034","","login.LoginTest","","login.LoginTest","testUnsuccessfulLogin","testUnsuccessfulLogin()",""
