"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 17 13:17:58 GMT 2021","Tue Aug 17 13:17:59 GMT 2021","267","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","testCheckEachLineOfPrivacyPolicyTextFile","testCheckEachLineOfPrivacyPolicyTextFile()",""
"broken","Tue Aug 17 13:17:59 GMT 2021","Tue Aug 17 13:18:00 GMT 2021","177","","read_multipage_list.ReadMultiPageListTest","","read_multipage_list.ReadMultiPageListTest","MultiPageAppleProductFilterTest","MultiPageAppleProductFilterTest()",""
"broken","Tue Aug 17 13:17:59 GMT 2021","Tue Aug 17 13:17:59 GMT 2021","163","","save_data.DownloadDataTest","","save_data.DownloadDataTest","DownloadPrivacyPolicyAsPDF","DownloadPrivacyPolicyAsPDF()",""
"broken","Tue Aug 17 13:17:59 GMT 2021","Tue Aug 17 13:17:59 GMT 2021","182","","save_data.ProductFilterTest","","save_data.ProductFilterTest","FilterAppleNotebooksTest","FilterAppleNotebooksTest()",""
"broken","Tue Aug 17 13:17:59 GMT 2021","Tue Aug 17 13:17:59 GMT 2021","164","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testBrandFilter","testBrandFilter()",""
"broken","Tue Aug 17 13:17:59 GMT 2021","Tue Aug 17 13:17:59 GMT 2021","160","","login.LoginTest","","login.LoginTest","testUnsuccessfulLogin","testUnsuccessfulLogin()",""
"broken","Tue Aug 17 13:17:57 GMT 2021","Tue Aug 17 13:17:58 GMT 2021","696","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Tue Aug 17 13:18:00 GMT 2021","Tue Aug 17 13:18:00 GMT 2021","152","","delete_data.DeleteProductFromCartTest","","delete_data.DeleteProductFromCartTest","testDeleteProductFromCart","testDeleteProductFromCart()",""
"broken","Tue Aug 17 13:17:59 GMT 2021","Tue Aug 17 13:17:59 GMT 2021","151","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
