"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 17 12:50:06 GMT 2021","Tue Aug 17 12:50:06 GMT 2021","164","","delete_data.DeleteProductFromCartTest","","delete_data.DeleteProductFromCartTest","testDeleteProductFromCart","testDeleteProductFromCart()",""
"broken","Tue Aug 17 12:50:05 GMT 2021","Tue Aug 17 12:50:05 GMT 2021","172","","save_data.DownloadDataTest","","save_data.DownloadDataTest","DownloadPrivacyPolicyAsPDF","DownloadPrivacyPolicyAsPDF()",""
"broken","Tue Aug 17 12:50:05 GMT 2021","Tue Aug 17 12:50:05 GMT 2021","157","","save_data.ProductFilterTest","","save_data.ProductFilterTest","FilterAppleNotebooksTest","FilterAppleNotebooksTest()",""
"broken","Tue Aug 17 12:50:05 GMT 2021","Tue Aug 17 12:50:05 GMT 2021","160","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testBrandFilter","testBrandFilter()",""
"broken","Tue Aug 17 12:50:05 GMT 2021","Tue Aug 17 12:50:06 GMT 2021","165","","read_multipage_list.ReadMultiPageListTest","","read_multipage_list.ReadMultiPageListTest","MultiPageAppleProductFilterTest","MultiPageAppleProductFilterTest()",""
"broken","Tue Aug 17 12:50:04 GMT 2021","Tue Aug 17 12:50:05 GMT 2021","147","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","testCheckEachLineOfPrivacyPolicyTextFile","testCheckEachLineOfPrivacyPolicyTextFile()",""
"broken","Tue Aug 17 12:50:04 GMT 2021","Tue Aug 17 12:50:04 GMT 2021","646","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Tue Aug 17 12:50:05 GMT 2021","Tue Aug 17 12:50:05 GMT 2021","151","","login.LoginTest","","login.LoginTest","testUnsuccessfulLogin","testUnsuccessfulLogin()",""
"broken","Tue Aug 17 12:50:05 GMT 2021","Tue Aug 17 12:50:05 GMT 2021","143","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
