"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 17:42:47 GMT 2021","Wed Aug 18 17:42:47 GMT 2021","27","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testBrandFilter","testBrandFilter()",""
"broken","Wed Aug 18 17:42:47 GMT 2021","Wed Aug 18 17:42:47 GMT 2021","9","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","testSuccessfulLogin()",""
"broken","Wed Aug 18 17:42:47 GMT 2021","Wed Aug 18 17:42:47 GMT 2021","14","","delete_data.DeleteProductFromCartTest","","delete_data.DeleteProductFromCartTest","testDeleteProductFromCart","testDeleteProductFromCart()",""
"broken","Wed Aug 18 17:42:47 GMT 2021","Wed Aug 18 17:42:47 GMT 2021","55","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","testCheckEachLineOfPrivacyPolicyTextFile","testCheckEachLineOfPrivacyPolicyTextFile()",""
"broken","Wed Aug 18 17:42:47 GMT 2021","Wed Aug 18 17:42:47 GMT 2021","10","","read_multipage_list.ReadMultiPageListTest","","read_multipage_list.ReadMultiPageListTest","MultiPageAppleProductFilterTest","MultiPageAppleProductFilterTest()",""
"broken","Wed Aug 18 17:42:47 GMT 2021","Wed Aug 18 17:42:47 GMT 2021","45","","save_data.ProductFilterTest","","save_data.ProductFilterTest","FilterAppleNotebooksTest","FilterAppleNotebooksTest()",""
"broken","Wed Aug 18 17:42:21 GMT 2021","Wed Aug 18 17:42:47 GMT 2021","25777","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","testSuccessfulLogout()",""
"broken","Wed Aug 18 17:42:47 GMT 2021","Wed Aug 18 17:42:47 GMT 2021","10","","login.LoginTest","","login.LoginTest","testUnsuccessfulLogin","testUnsuccessfulLogin()",""
