"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 14:08:12 GMT 2021","Sun Aug 22 14:08:19 GMT 2021","7288","","login.LoginTest","","login.LoginTest","testUnsuccessfulLogin","TC3",""
"passed","Sun Aug 22 14:07:56 GMT 2021","Sun Aug 22 14:08:05 GMT 2021","9730","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testModifyRegisteredName","TC6 It should modify the first name of the user.",""
"passed","Sun Aug 22 14:08:26 GMT 2021","Sun Aug 22 14:09:25 GMT 2021","59218","","read_multipage_list.ReadMultiPageListTest","","read_multipage_list.ReadMultiPageListTest","MultiPageAppleProductFilterTest","TC8 All result must include the filtered brand.",""
"passed","Sun Aug 22 14:09:25 GMT 2021","Sun Aug 22 14:09:37 GMT 2021","11619","","delete_data.DeleteProductFromCartTest","","delete_data.DeleteProductFromCartTest","testDeleteProductFromCart","TC5 It should delete a Led monitor from the cart.",""
"passed","Sun Aug 22 14:07:32 GMT 2021","Sun Aug 22 14:07:38 GMT 2021","6853","","privacypolicy.PrivacyPolicyTest","","privacypolicy.PrivacyPolicyTest","testCheckEachLineOfPrivacyPolicyTextFile","TC10 The privacy policy page should contain the capters stored in the class PrivacyPolicyPage.",""
"passed","Sun Aug 22 14:07:32 GMT 2021","Sun Aug 22 14:07:41 GMT 2021","9560","","logout.LogoutTest","","logout.LogoutTest","testSuccessfulLogout","TC4 It should log out succesfully",""
"passed","Sun Aug 22 14:07:41 GMT 2021","Sun Aug 22 14:07:49 GMT 2021","7750","","input_data_from_source.SubscriptionForNewsLetterTest","","input_data_from_source.SubscriptionForNewsLetterTest","testSuccessfulSubscribtionForNewsLetter","TC9 It subscribes as many newsletter as there are users in json file.",""
"passed","Sun Aug 22 14:08:19 GMT 2021","Sun Aug 22 14:08:26 GMT 2021","7290","","login.LoginTest","","login.LoginTest","testSuccessfulLogin","TC2",""
"passed","Sun Aug 22 14:08:05 GMT 2021","Sun Aug 22 14:08:12 GMT 2021","6354","","save_data.ProductFilterTest","","save_data.ProductFilterTest","FilterAppleNotebooksTest","TC11 The page must contain elements that match the filter criteria.",""
"passed","Sun Aug 22 14:07:49 GMT 2021","Sun Aug 22 14:07:56 GMT 2021","6469","","modify_data.ModifyDataTest","","modify_data.ModifyDataTest","testBrandFilter","TC7 It tests the brand filter by entering a brand and then modifying it with a sub brand.",""
"broken","Sun Aug 22 14:09:37 GMT 2021","Sun Aug 22 14:10:09 GMT 2021","31716","","registration.RegistrationTest","","registration.RegistrationTest","testSuccessfulRegistration","TC1 Succesful registration",""
